system:index,B1,B2,B3,B4,B5,B6,B7,landuse,.geo
3028_0,0.1306589,0.108437866,0.091254115,0.07916245,0.16070603,0.13631135,0.08735737,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3029_0,0.15414298,0.1432085,0.14347358,0.16132218,0.3481532,0.35085312,0.25141343,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3030_0,0.12595142,0.103553325,0.094984934,0.07143443,0.33221522,0.18192753,0.0864846,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3031_0,0.12986864,0.11090759,0.10577104,0.08624439,0.3237488,0.19812152,0.110988185,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3032_0,0.122865096,0.10424118,0.0911501,0.0833473,0.27748764,0.18743894,0.11328862,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3033_0,0.136086,0.112968944,0.09650974,0.08653976,0.2662816,0.13718705,0.08437811,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3034_0,0.13484609,0.115638584,0.110069945,0.092512086,0.29805338,0.20746544,0.12217437,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3035_0,0.12817533,0.10327673,0.097237766,0.07545432,0.25225362,0.1748793,0.09642185,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3036_0,0.1310505,0.11102401,0.09736438,0.08549234,0.25541458,0.19300559,0.110780194,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3037_0,0.12758945,0.10775342,0.09795213,0.09411224,0.23612753,0.1906097,0.11837974,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3038_0,0.12572983,0.10677406,0.098435074,0.10303243,0.2662374,0.24990702,0.14725578,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3039_0,0.1336967,0.113672644,0.11020829,0.12141055,0.2526529,0.2760145,0.17059574,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3040_0,0.12654012,0.110291936,0.09471527,0.08885257,0.23206297,0.22031692,0.14729743,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3041_0,0.1269747,0.11111852,0.098774366,0.085476235,0.32163623,0.1640644,0.08994812,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3042_0,0.13713308,0.12060399,0.11048856,0.11463778,0.24218135,0.23576698,0.16465391,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3043_0,0.13211823,0.10777038,0.0917777,0.089422986,0.26279843,0.19237849,0.13011923,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3044_0,0.11960597,0.09865892,0.09355638,0.07006776,0.39052546,0.1989785,0.09808295,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3045_0,0.123165846,0.10116704,0.09088702,0.076251194,0.31843162,0.20216411,0.105273634,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3046_0,0.12705098,0.10855053,0.0998032,0.09625958,0.30313835,0.23099655,0.13566385,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3047_0,0.12610616,0.10222482,0.08673829,0.06483421,0.4622482,0.15667857,0.06293727,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3048_0,0.12850222,0.102290064,0.086845644,0.06525724,0.43943968,0.17405602,0.07483871,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3049_0,0.13229881,0.113257855,0.09918869,0.08668775,0.2347308,0.14159556,0.07983165,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3050_0,0.12310674,0.100735635,0.081212625,0.06958833,0.15735671,0.124256365,0.081420116,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3051_0,0.13448817,0.11593469,0.10556312,0.095592976,0.2652831,0.17686042,0.12024491,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3052_0,0.13550764,0.116862595,0.1068717,0.10471548,0.27107048,0.21669477,0.15342128,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3053_0,0.13414189,0.11300613,0.09835407,0.077306524,0.27762562,0.17481467,0.09311524,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3054_0,0.13276923,0.10643012,0.08569906,0.06443858,0.2991089,0.1449177,0.07350031,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3055_0,0.1368936,0.11565974,0.09471767,0.0843219,0.26561785,0.1596258,0.101185426,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3056_0,0.14032829,0.12126352,0.113840245,0.11546479,0.308363,0.25681692,0.1647891,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3057_0,0.13438511,0.11311076,0.107018515,0.0863265,0.25399864,0.18716729,0.10136702,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3058_0,0.13681762,0.11961078,0.107785836,0.10047696,0.26028386,0.22230798,0.123991676,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3059_0,0.12667736,0.10649367,0.096873894,0.08463547,0.33212638,0.208551,0.1223315,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3060_0,0.13682193,0.114231706,0.096488275,0.08886315,0.27766874,0.18446419,0.10730687,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3061_0,0.12680884,0.10422185,0.09039961,0.0716663,0.2816184,0.17939262,0.09875806,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3062_0,0.12836704,0.10909124,0.09504576,0.08873531,0.28418165,0.24877647,0.14199102,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3063_0,0.150692,0.13889143,0.14275894,0.13971087,0.39439893,0.28931296,0.18729645,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3064_0,0.12655593,0.106876396,0.094636954,0.079262905,0.30303717,0.20238824,0.10796661,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3065_0,0.12182447,0.09794223,0.077610806,0.05726803,0.2279135,0.13430473,0.0611749,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3066_0,0.11320811,0.08760498,0.07130151,0.045381807,0.31060517,0.13066505,0.05296345,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3067_0,0.124022596,0.09829854,0.07112481,0.049055737,0.23106262,0.090630636,0.04221685,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3068_0,0.13911514,0.11968836,0.11415156,0.13659793,0.2513965,0.30825925,0.19632277,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3069_0,0.13578707,0.11779414,0.12135102,0.12944168,0.29329646,0.26484323,0.17570195,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3070_0,0.13481544,0.11703004,0.113989726,0.09199529,0.42666814,0.19654262,0.10585835,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3071_0,0.13992673,0.1300304,0.149402,0.18754819,0.34200644,0.39031819,0.3016839,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3072_0,0.1318465,0.10596819,0.08628826,0.07383459,0.21393573,0.20251222,0.10680885,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3073_0,0.13638568,0.11546993,0.10264431,0.105710134,0.24540843,0.22587979,0.13806176,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3074_0,0.12369822,0.104116246,0.09208903,0.07493706,0.30297512,0.20092182,0.10459301,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3075_0,0.15003479,0.13511316,0.1354075,0.14832325,0.3054133,0.30390793,0.2237016,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3076_0,0.11993148,0.096741915,0.0794193,0.056796927,0.2734247,0.14232427,0.06843717,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3077_0,0.13360414,0.11321291,0.1072162,0.086651295,0.39882833,0.22704776,0.11746624,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3078_0,0.13216002,0.11203366,0.10019865,0.09030573,0.26300848,0.23842499,0.15657395,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3079_0,0.12995072,0.108381316,0.0959011,0.08680423,0.23187834,0.21117306,0.13299154,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3080_0,0.13730425,0.116326466,0.101659715,0.090057954,0.2583492,0.16922775,0.09989652,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3081_0,0.12124648,0.09643378,0.07431985,0.055433583,0.20546535,0.1206975,0.062478397,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3082_0,0.12634647,0.10441552,0.08734921,0.06746219,0.2361218,0.19538626,0.096252404,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3083_0,0.12773815,0.10936634,0.102454975,0.08085225,0.25527066,0.18669868,0.102101415,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3084_0,0.13167474,0.11221218,0.0966464,0.08408775,0.33153614,0.22415295,0.12700379,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3085_0,0.142999,0.12838718,0.1331427,0.14655606,0.2972823,0.2709217,0.19654706,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3086_0,0.13228141,0.10955143,0.093454674,0.06755295,0.24776486,0.13740411,0.0795236,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3087_0,0.14338534,0.12817292,0.11454274,0.11653457,0.25697115,0.22917888,0.16561186,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3088_0,0.12818976,0.10941666,0.098226905,0.08292481,0.25045228,0.21513414,0.12161143,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3089_0,0.12505318,0.10605123,0.096570306,0.08562949,0.2585649,0.21281879,0.11524096,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3090_0,0.11245208,0.0938048,0.07147153,0.05228029,0.30059183,0.13138644,0.055564515,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3091_0,0.13101016,0.10723412,0.089889646,0.067042224,0.25171256,0.1432355,0.077496454,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3092_0,0.12242969,0.10165463,0.09060765,0.064197905,0.38502744,0.17694905,0.0700786,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3093_0,0.124708176,0.099383526,0.07422244,0.052138466,0.23254935,0.11872094,0.054422956,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3094_0,0.12791982,0.102418885,0.08236267,0.06239062,0.24566764,0.1652399,0.09127858,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3095_0,0.114208676,0.09340112,0.07285819,0.050517656,0.23705244,0.13016151,0.058420435,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3096_0,0.115211874,0.09207021,0.07938963,0.050944343,0.3364395,0.1743142,0.07168531,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3097_0,0.11766679,0.094525196,0.07479988,0.054801226,0.2732027,0.17526816,0.074643835,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3098_0,0.13093539,0.11491073,0.11345332,0.10136919,0.29125544,0.23066074,0.13807087,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3099_0,0.12648004,0.09914837,0.073351055,0.050666895,0.30810964,0.13410908,0.056981813,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3100_0,0.1141399,0.09141016,0.07759264,0.056378387,0.31196445,0.16446747,0.070753455,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3101_0,0.11144837,0.08745374,0.0651616,0.039890997,0.20971438,0.122067325,0.049900714,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3102_0,0.115590006,0.08912049,0.06785834,0.043655615,0.16781037,0.080917716,0.042142004,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3103_0,0.12178713,0.09750487,0.07840056,0.05334238,0.20068267,0.10246074,0.052844763,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3104_0,0.11757885,0.09465812,0.06568906,0.044461038,0.24939887,0.10112215,0.03507629,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3105_0,0.10960512,0.086192034,0.062277187,0.03973559,0.19894853,0.10000053,0.043447707,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3106_0,0.11200768,0.08722755,0.06788035,0.041247375,0.23297341,0.08261913,0.035199948,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
