system:index,B1,B2,B3,B4,B5,B6,B7,landuse,.geo
112_0,0.13207245,0.10974947,0.085467756,0.06927534,0.30955923,0.16338086,0.08754991,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,0.13138317,0.108209096,0.09245178,0.07237693,0.3157764,0.19575168,0.10480674,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.15202919,0.1348843,0.12699232,0.12257977,0.26373804,0.22005457,0.15413362,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,0.13588612,0.11432661,0.09467106,0.08094743,0.31879452,0.22566937,0.13202688,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,0.174856,0.158985,0.14865877,0.14565657,0.22652495,0.20676635,0.16156793,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,0.17979932,0.172193,0.18448843,0.20954211,0.32484478,0.31828934,0.22433631,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,0.13443665,0.11137249,0.09495855,0.0863952,0.2807448,0.17385535,0.10377405,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,0.15723348,0.12801309,0.102984175,0.09485262,0.12189032,0.09643938,0.07292436,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,0.14810146,0.1167662,0.07030864,0.05031154,0.0464255,0.019174555,0.011534559,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,0.12817788,0.10987628,0.09976298,0.07812643,0.33997214,0.1931387,0.0963437,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,0.13471615,0.117606506,0.12376657,0.13494614,0.28769562,0.18927465,0.11704965,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,0.1286424,0.10544178,0.09693137,0.07858169,0.32469553,0.15454651,0.07454079,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,0.1307487,0.10593697,0.09312454,0.064516775,0.41696668,0.18261744,0.07536484,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,0.13225259,0.11365793,0.10618186,0.0911873,0.35054094,0.18593262,0.10656308,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,0.13085209,0.112571776,0.10402486,0.09768069,0.3119248,0.2227913,0.1140383,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,0.12853499,0.10521161,0.092877135,0.06984801,0.37769088,0.16008165,0.07792102,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,0.12878178,0.10702998,0.09824317,0.0704709,0.36467874,0.16003647,0.073383674,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,0.12397796,0.09918237,0.077361576,0.05326521,0.4003594,0.1280005,0.049646366,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,0.26560134,0.2730809,0.29326215,0.31869215,0.4010163,0.24399756,0.20214021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,0.12516423,0.10187815,0.0894832,0.05985804,0.36676592,0.12754883,0.05110333,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,0.12411882,0.09931845,0.07671371,0.052693762,0.34496674,0.12955055,0.05295794,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,0.12708926,0.102159336,0.08456901,0.053244755,0.50043285,0.16992587,0.068960756,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,0.12812084,0.10526522,0.095318414,0.07684674,0.40977153,0.16577458,0.075966835,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,0.1309246,0.112055324,0.09330249,0.07438839,0.30990788,0.16347231,0.06633008,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,0.13216724,0.112764925,0.100285694,0.07820231,0.2327327,0.12117643,0.069559306,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,0.1324342,0.11077151,0.10609423,0.08957614,0.3792556,0.19662568,0.10132768,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,0.13089259,0.106051266,0.08206546,0.057336673,0.29502428,0.11871268,0.047538623,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,0.13671163,0.11173555,0.096368834,0.0717791,0.39471483,0.17164615,0.08691885,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,0.13071696,0.10726408,0.09532986,0.06151416,0.46775422,0.17246112,0.07794026,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,0.13137491,0.11016001,0.096788846,0.07233533,0.41189128,0.18402818,0.08424969,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
